date,title,where,link
2021.04.30.,"문 대통령, 코로나19 백신 2차 접종... 방미 감안해 일정 당겼다",한국일보언론사 선정,https://hankookilbo.com/News/Read/A2021043008480004287?did=NA
2021.04.28.,"30살 이상 장병·군무원, 코로나 백신 접종 시작",한겨레언론사 선정,http://www.hani.co.kr/arti/politics/defense/992979.html
2021.05.04.,"다른 나라는 '코로나 생지옥'인데…백신 남아도는 美, 청소년도 맞힌다",한국경제,https://www.hankyung.com/international/article/2021050489221
2021.04.29.,"식약처, 노바백스·스푸트니크V 코로나 백신 사전검토 착수",YTN언론사 선정,https://www.ytn.co.kr/_ln/0103_202104292212576281
2021.04.30.,"코로나 백신 맞은 90대, 심정지로 병원 이송…호흡 돌아와",동아일보언론사 선정,https://www.donga.com/news/article/all/20210430/106691430/2
2021.05.03.,"미국, WTO와 코로나 백신 지적재산권 한시적 면제 논의",MBC,https://imnews.imbc.com/news/2021/world/article/6167101_34880.html
2021.05.03.,"절박한 인류, ‘백신 특허 중지’로 코로나에 맞서나",한겨레언론사 선정,http://www.hani.co.kr/arti/international/international_general/993646.html
2021.05.04.,[코로나19-중앙방역대책본부] 방역당국 “백신 1차 접종 마친 60세 이상 예방효과 86.6%” - 5월4일 오후 브리핑,KBS,https://news.kbs.co.kr/news/view.do?ncd=5177916&ref=A
2021.05.03.,"코로나백신 '특허권' 풀리나…美, WTO와 한시적 면제 논의",중앙일보,https://news.joins.com/article/olink/23643479
2021.05.01.,"WHO ""모더나 코로나19 백신 긴급승인""…코백스 배분 가능해져",MBC,https://imnews.imbc.com/news/2021/society/article/6165366_34873.html
2021.05.03.,"수원시, 코로나19 백신접종 불안심리 완화 '시민에 관련 정보공개'",한국경제,https://www.hankyung.com/society/article/202105033168h
2021.05.03.,"文 “코로나 백신 접종, 상반기 1,300만 명도 가능”",KBS,https://news.kbs.co.kr/news/view.do?ncd=5176934&ref=A
2021.04.30.,"KBO, 코로나19 백신 접종 다음날 5경기 취소하기로",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006302864&plink=ORI&cooper=NAVER
2021.05.03.,"미국, WTO와 코로나19 백신 지적재산권 한시적 면제 논의",KBS,https://news.kbs.co.kr/news/view.do?ncd=5176451&ref=A
2021.05.03.,코로나19 백신 접종 마친 여행객…'EU 입국 허용' 권고,한국경제,https://www.hankyung.com/international/article/2021050352297
2021.05.02.,코로나19 백신 1차 접종 339만 5104명…인구 6.6% 수준,한국경제,https://www.hankyung.com/society/article/2021050296277
2021.05.03.,버니 샌더스 “코로나19 백신 지적재산권 포기해야”,KBS,https://news.kbs.co.kr/news/view.do?ncd=5176333&ref=A
2021.05.01.,"WHO ""다음 주쯤 모더나·중국 코로나19 백신 승인 여부 결정""",YTN언론사 선정,https://www.ytn.co.kr/_ln/0104_202105010040094768
2021.05.03.,"美상원 거물 샌더스, 코로나19 백신 지재권 면제 주장",MBC,https://imnews.imbc.com/news/2021/world/article/6167011_34880.html
2021.04.29.,코로나19 백신 1차 접종자 누적 300만명 넘어…접종 시작 62일만,MBC언론사 선정,https://imnews.imbc.com/news/2021/society/article/6163777_34873.html
2021.05.05.,"[코로나19 국제뉴스] “WHO, 러 ‘스푸트니크 V’ 백신 최종 평가 7월쯤 나올 전망”",KBS,https://news.kbs.co.kr/news/view.do?ncd=5178464&ref=A
2021.05.02.,"정부 ""5~6월 코로나19 백신 접종계획 3일 발표""",한국일보언론사 선정,https://hankookilbo.com/News/Read/A2021050216570003035?did=NA
2021.05.01.,"동두천 카투사 1명, 얀센 백신 접종 후 코로나19 확진",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006303681&plink=ORI&cooper=NAVER
2021.05.02.,'코로나 폭증' 인도에 러시아 백신 첫 물량 도착,SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006303964&plink=ORI&cooper=NAVER
2021.05.04.,"백혜련 ""코로나19 백신과 부동산 등 부족했던 민생 문제 해결 먼저""",한국일보,https://hankookilbo.com/News/Read/A2021050411230003946?did=NA
2021.05.03.,"美 상원 거물 샌더스, 코로나19 백신 지재권 면제 주장",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006304650&plink=ORI&cooper=NAVER
2021.05.04.,"'백신 없는' 북한 ""백신은 코로나19 방역 해결책 아냐""",MBC,https://imnews.imbc.com/news/2021/politics/article/6168311_34866.html
2021.05.02.,"백신 접종 선도국, 코로나 살기 좋은 나라 순위 약진…한국은?",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1006304005&plink=ORI&cooper=NAVER
