,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
21,외주요정 얀,@il_X0X_il,2021-11-01T13:12:50.000Z,"외주요정 얀
@il_X0X_il
·
11월 1일","사실 전에 에셈바 가게 되면
얀을 찾으면 얀 앞에서 춤을 춘다! 미션 성공하면
성공시 그림을 그려주기로 했는데 코로나땜에 취소했지
1
14",🔪,1,,14,[],https://twitter.com/il_X0X_il/status/1455160905843425282
22,다좋아~(부산진구),@dajoayo,2021-11-01T23:58:29.000Z,"다좋아~(부산진구)
@dajoayo
·
11월 2일","마스크가 백신이다

네덜란드, 확진자 급증에 '위드코로나' 일단 중단 | 다음 뉴스 

방역 해제 한 달여 만에 확진자 8000명 안팎으로 증가
새 방역 조치 예고..공공장소 마스크 착용·코로나 패스 이용 확대 전망
news.v.daum.net
네덜란드, 확진자 급증에 '위드코로나' 일단 중단
(서울=뉴스1) 최서윤 기자 = 네덜란드가 한 달간 이어진 신종 코로나바이러스 감염증(코로나19) 확진자 급증에 결국 지난 9월 선언했던 '위드코로나'를 중단하고 나섰다. 1일(현지시간) 로이터 통신에 따르면 휴고 드 용헤 네덜란드 보건장관은 이번 주부터 새 방역 조치를 시행한다고 이날 발표했다. 드 용헤 장관은 ""코로나19 관련 입원 환자 수가 빠르게
1
3
2",🌱,1,3,2,['https://pbs.twimg.com/card_img/1460377430288338948/0S9QnIbC?format=jpg&name=small'],https://twitter.com/dajoayo/status/1455323390898700288
23,𝐿𝑒𝑠𝑠,@lessislessxx,2021-11-01T14:58:59.000Z,"𝐿𝑒𝑠𝑠
@lessislessxx
·
11월 1일","솔직히 더러워서 스치기도 싫은데 저러고 코로나 확산중인 상황에 부대끼고 몸 비비고 있는게….. 진심 무리.
산악회장 시시포스
@climb_chairman
 · 10월 31일
아이씨발 이러다진짜 다뒤진다고
이 스레드 보기
4
6",,,4,6,"['https://pbs.twimg.com/profile_images/1444311574840156167/0k_hb1M7_mini.jpg', 'https://pbs.twimg.com/media/FC_csb7acAAkxTj?format=jpg&name=900x900']",https://twitter.com/lessislessxx/status/1455187619743109120
24,비다래,@vcsdrt,2021-11-01T22:27:20.000Z,"비다래
@vcsdrt
·
11월 2일","작년에 코로나 때문에 2020 없어졌다고 운게 엊그제 같은데 2021 사라짐
2
5",🏡,,2,5,[],https://twitter.com/vcsdrt/status/1455300452724076545
25,다좋아~(부산진구),@dajoayo,2021-11-01T23:56:35.000Z,"다좋아~(부산진구)
@dajoayo
·
11월 2일","이재명같은 놈들 많네

'위드 코로나' 첫날부터 전국 음주운전 299명 적발 | 다음 뉴스
news.v.daum.net
'위드 코로나' 첫날부터 전국 음주운전 299명 적발
(서울=연합뉴스) 이정현 기자 = 단계적 일상회복('위드 코로나') 첫날 경찰의 음주운전 단속에 300명 가까이 적발됐다. 2일 경찰청에 따르면 전날 음주운전 집중 단속으로 전국에서 총 299명의 음주운전자가 적발됐다. 이 중 면허정지 수준은 89명, 면허취소 수준은 200명, 측정을 거부한 사람은 10명이었다. 경찰청은 단계적 일상회복 시행에 따라 연말
2
2
3",🌱,2,2,3,['https://pbs.twimg.com/card_img/1460397165134573570/e3y4Rq7L?format=jpg&name=small'],https://twitter.com/dajoayo/status/1455322910881574913
26,YTN,@YTN24,2021-11-01T20:00:07.000Z,"YTN
@YTN24
·
11월 2일","'위드 코로나'  하늘길 열려...세계 각국 공항 북적
m.ytn.co.kr
'위드 코로나' 하늘길 열려...세계 각국 공항 북적
[앵커]태국과 이스라엘, 호주 등 여러 나라들이 코로나19와의 공존, 이른바 '위드 코로나'를 시작했습니다.코로나19 대유행 이후 빗장을 걸었던 하늘길을 개방하면서 이들 국가의 공항은 오랜만에 활기찬 모습을 보였습니다.김진호 기자의 보도입니다.[기자]태국 방콕 공항이 관광객들로 북적입니다.한...
1
9
8",,1,9,8,['https://pbs.twimg.com/card_img/1460470711944810506/PSXrrC76?format=jpg&name=240x240'],https://twitter.com/YTN24/status/1455263404193554440
27,Sejin Jang,@sejinjang,2021-11-01T13:23:13.000Z,"Sejin Jang
@sejinjang
·
11월 1일","[얀센 백신 접종자의 코로나19 예방효과가 지난 3월 88%에서 5개월이 지난 8월에 3%로 급감했다. 같은 기간 모더나 백신 2차 접종 완료자는 92%에서 64%로, 화이자 백신 2차 접종 완료자는 91%에서 50%로 낮아졌다.]
31",,,31,,[],https://twitter.com/sejinjang/status/1455163520962555905
28,응정,@and_so_0n,2021-11-01T13:41:14.000Z,"응정
@and_so_0n
·
11월 1일","25kg 짊어지고 스쿼트를 50개 3세트씩 했었다. 버스가 신호에 걸려있다가 신호등이 바뀌는 것이 보이면 그저 내 속력을 시험해보고 싶어서 필사적으로 달려서 반드시 잡아타곤 했다. 코로나 이후 운동을 많이 쉬었고 오늘 다시 등록했다. 이번엔 표준체형이 됐으니 그때보다 더 잘 만들 수 있을 것이다
2
31",🪴,2,,31,[],https://twitter.com/and_so_0n/status/1455168055684653056
29,RainB,@angelesyogi,2021-11-01T15:03:13.000Z,"RainB
@angelesyogi
·
11월 2일","코로나로 대한민국에서 가장 호황 맞은게 이재띵.
1
9",,1,,9,[],https://twitter.com/angelesyogi/status/1455188684702060545
30,허참„,@charm_hym,2021-11-01T16:53:09.000Z,"허참„
@charm_hym
·
11월 2일","근데 코로나를 겪으면서 느낀 거 : 아 기후위기로 진짜 세계 멸망할 듯^^
1
5",,1,,5,[],https://twitter.com/charm_hym/status/1455216349693693961
